permno,ticker,price,ret,vol,shrout,trade_date
92309,MAIN,41.55,-0.016365,338344.0,77254.0,2023-03-07
92309,MAIN,41.92,0.008905,193760.0,77254.0,2023-03-08
92309,MAIN,39.44,-0.05916,545801.0,77254.0,2023-03-09
92309,MAIN,37.98,-0.037018,803768.0,77254.0,2023-03-10
92309,MAIN,38.09,0.002896,660881.0,77254.0,2023-03-13
92309,MAIN,38.89,0.021003,378318.0,77254.0,2023-03-14
92309,MAIN,38.54,-0.009,431743.0,77254.0,2023-03-15
92309,MAIN,38.89,0.009081,346247.0,77254.0,2023-03-16
92309,MAIN,38.48,-0.010543,623008.0,77254.0,2023-03-17
92309,MAIN,38.44,0.003508,273257.0,77254.0,2023-03-20
92309,MAIN,39.27,0.021592,251860.0,77254.0,2023-03-21
92309,MAIN,38.55,-0.018335,221886.0,77254.0,2023-03-22
92309,MAIN,38.66,0.002853,199340.0,77254.0,2023-03-23
92309,MAIN,39.28,0.016037,230264.0,77254.0,2023-03-24
92309,MAIN,39.38,0.002546,268755.0,77254.0,2023-03-27
92309,MAIN,39.45,0.001778,264869.0,77254.0,2023-03-28
92309,MAIN,39.4,-0.001267,244216.0,77254.0,2023-03-29
92309,MAIN,39.25,-0.003807,297431.0,77254.0,2023-03-30
92309,MAIN,39.46,0.00535,354627.0,79550.0,2023-03-31
92309,MAIN,39.75,0.007349,417756.0,79550.0,2023-04-03
92309,MAIN,39.67,-0.002013,321992.0,79550.0,2023-04-04
92309,MAIN,38.91,-0.013486,269872.0,79550.0,2023-04-05
92309,MAIN,39.31,0.01028,264034.0,79550.0,2023-04-06
92309,MAIN,39.24,-0.001781,335186.0,79550.0,2023-04-10
92309,MAIN,39.22,-0.00051,311873.0,79550.0,2023-04-11
92309,MAIN,39.17,-0.001275,304918.0,79550.0,2023-04-12
92309,MAIN,39.65,0.012254,273725.0,79550.0,2023-04-13
92309,MAIN,39.56,-0.00227,373744.0,79550.0,2023-04-14
92309,MAIN,39.92,0.0091,301593.0,79550.0,2023-04-17
92309,MAIN,39.98,0.001503,281284.0,79550.0,2023-04-18
92309,MAIN,40.37,0.009755,309653.0,79550.0,2023-04-19
92309,MAIN,39.92,-0.011147,285702.0,79550.0,2023-04-20
92309,MAIN,40.05,0.003257,230389.0,79550.0,2023-04-21
92309,MAIN,40.22,0.004245,238311.0,79550.0,2023-04-24
92309,MAIN,39.91,-0.007708,207785.0,79550.0,2023-04-25
92309,MAIN,39.5,-0.010273,248538.0,79550.0,2023-04-26
